song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,audio_valence
73,262333,0.00552,0.496,0.682,2.94E-05,8,0.0589,-4.095,0.0294,167.06,0.474
66,216933,0.0103,0.542,0.853,0,3,0.108,-6.407,0.0498,105.256,0.37
76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.828,0.0792,123.881,0.324
74,216933,0.0264,0.451,0.97,0.00355,0,0.102,-4.938,0.107,122.444,0.198
56,223826,0.000954,0.447,0.766,0,10,0.113,-5.065,0.0313,172.011,0.574
80,235893,0.00895,0.316,0.945,1.85E-06,4,0.396,-3.169,0.124,189.931,0.32
81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0.0624,90.578,0.724
76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,0.0855,105.046,0.537
80,222586,0.00108,0.33,0.936,0,1,0.0926,-3.66,0.0917,148.112,0.234
81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,0.054,153.398,0.374
78,168253,0.0424,0.629,0.897,0,2,0.263,-3.401,0.0483,161.944,0.93
63,185586,0.0046,0.496,0.863,0,9,0.639,-4.153,0.0381,110.018,0.243
75,209266,0.00434,0.647,0.964,0.0036,9,0.15,-4.225,0.06,126.942,0.875
81,269000,0.0179,0.618,0.938,0,9,0.167,-3.442,0.0456,91.455,0.875
69,210240,0.000353,0.42,0.929,0.000747,7,0.122,-3.899,0.121,127.204,0.3
77,237026,0.000423,0.278,0.676,0.000899,9,0.136,-8.821,0.0371,104.545,0.494
71,227240,0.00136,0.659,0.778,6.79E-06,11,0.0841,-6.423,0.0379,110.022,0.623
62,256600,0.00701,0.37,0.944,2.90E-06,1,0.135,-4.979,0.0767,130.315,0.345
77,187613,0.0938,0.567,0.795,0,9,0.114,-4.985,0.134,170.06,0.635
79,233933,0.00664,0.545,0.865,1.12E-05,11,0.168,-5.708,0.0286,99.01,0.543
69,231533,0.0014,0.309,0.912,0.000271,4,0.582,-3.881,0.0646,183.035,0.302
79,230760,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,0.0432,137.028,0.173
13,255066,0.0137,0.518,0.538,0.000398,0,0.141,-5.818,0.0486,170.953,0.687
